iscii,bn,gu,hi,kn,ml,mr,or,pa,ta,te
E5,ো,ો,ो,ೋ,ോ,ो,ୋ,ੋ,ோ,ో
E6,ৌ,ૌ,ौ,ೌ,ൌ,ौ,ୌ,ੌ,ௌ,ౌ
E7,,ૉ,ॉ,,,ॉ,,,,
E8,্,્,्,್,്,्,୍,੍,்,్
E9,়,઼,़,಼,,़,଼,਼,,
EA,,,।,,,।,,,,
EA*,ঽ,ઽ,ऽ,ಽ,ഽ,ऽ,ଽ,,,ఽ
EB,,,,,,,,,,
EC,,,,,,,,,,
ED,,,,,,,,,,
EE,,,,,,,,,,
EF,,,,,,,,,,
F0,,,,,,,,,,
F1,০,૦,०,೦,൦,०,୦,੦,௦,౦
F2,১,૧,१,೧,൧,१,୧,੧,௧,౧
F3,২,૨,२,೨,൨,२,୨,੨,௨,౨
F4,৩,૩,३,೩,൩,३,୩,੩,௩,౩
F5,৪,૪,४,೪,൪,४,୪,੪,௪,౪
F6,৫,૫,५,೫,൫,५,୫,੫,௫,౫
F7,৬,૬,६,೬,൬,६,୬,੬,௬,౬
F8,৭,૭,७,೭,൭,७,୭,੭,௭,౭
F9,৮,૮,८,೮,൮,८,୮,੮,௮,౮
FA,৯,૯,९,೯,൯,९,୯,੯,௯,౯
FB,,,,,,,,,,
FC,,,,,,,,,,
FD,,,,,,,,,,
FE,,,,,,,,,,
FF,,,,,,,,,,
